GP_CD,SYS_SUPP
C82055,TPP
C84014,TPP
C84039,TPP
E82626,TPP
E85750,EMIS
F81096,TPP
F86032,EMIS
H85023,EMIS
H85637,EMIS
J82124,EMIS
K81062,EMIS
K81069,EMIS
K82006,EMIS
K83614,TPP
K84072,EMIS
M85139,TPP
M88035,TPP
M88633,TPP
M92001,EMIS
N81100,EMIS
N85017,EMIS
P81046,EMIS
P81130,EMIS
P87020,EMIS
P87026,EMIS
P88632,EMIS
Y00486,TPP
Y00522,TPP
Y02177,TPP
P81668,EMIS
A81023,TPP
A81630,TPP
A83001,TPP
B81012,TPP
B82622,TPP
B83015,TPP
C82063,TPP
C84676,TPP
E87010,TPP
F81031,TPP
G85690,EMIS
G85019,EMIS
G85030,EMIS
H81672,EMIS
H85065,EMIS
H85649,EMIS
K83026,TPP
L83021,TPP
M84040,EMIS
M85134,EMIS
N83005,EMIS
P87022,EMIS
A81039,TPP
B85004,TPP
C86002,EMIS
D82056,TPP
D82088,TPP
E81009,TPP
E82075,TPP
F81068,TPP
G82600,EMIS
G83633,EMIS
K81608,EMIS
L81059,TPP
L81106,EMIS
M81025,EMIS
M83025,EMIS
N81034,EMIS
P86006,EMIS
Y00589,TPP
A83021,TPP
A86004,TPP
B82027,TPP
B83033,TPP
C83653,EMIS
C84144,TPP
C87020,TPP
D81013,TPP
D83011,TPP
E84021,EMIS
E85119,TPP
E86010,EMIS
F83043,EMIS
F84731,EMIS
G82039,EMIS
G83680,EMIS
G84027,EMIS
H85011,EMIS
H85070,EMIS
K81100,CEGEDIM
K83048,TPP
K83069,EMIS
L81055,EMIS
L81101,TPP
L82026,EMIS
L82052,TPP
M89012,TPP
N82046,EMIS
N85018,EMIS
N85057,EMIS
P92607,TPP
Y02757,EMIS
B84006,TPP
C81016,EMIS
C82060,TPP
C82121,TPP
C84047,TPP
E85743,TPP
G82790,EMIS
F81700,TPP
F84105,EMIS
G82802,EMIS
H83052,EMIS
H84061,EMIS
H85103,EMIS
K83002,TPP
L82050,EMIS
L83072,EMIS
M81017,EMIS
M85117,TPP
M85716,EMIS
M88610,TPP
N81069,EMIS
N81072,EMIS
N85019,EMIS
N85028,EMIS
A85616,EMIS
A86038,TPP
B83020,TPP
B85059,TPP
B86011,TPP
B86086,EMIS
C84004,TPP
D82060,TPP
D83015,TPP
D83050,TPP
D83060,EMIS
E82129,EMIS
E85683,TPP
E85714,TPP
F82039,EMIS
F85007,EMIS
G82762,EMIS
H81045,EMIS
J83022,TPP
J83036,TPP
J83064,TPP
K84050,EMIS
L83092,TPP
L84037,TPP
M87008,EMIS
N84621,EMIS
Y02526,TPP
Y02578,EMIS
Y02787,TPP
Y03035,EMIS
B87019,TPP
C82109,EMIS
C86019,EMIS
D81014,TPP
D82031,TPP
E82092,TPP
E82655,EMIS
E87005,TPP
F81675,TPP
F82025,EMIS
F85678,EMIS
G82150,EMIS
G82696,EMIS
J82103,EMIS
K83618,TPP
K84048,EMIS
M81058,EMIS
N81114,TPP
N85037,EMIS
P81055,EMIS
P82021,EMIS
P92026,EMIS
N81121,EMIS
A82007,EMIS
A84031,TPP
A88014,EMIS
A88025,EMIS
